name,term,university,gender
Jonathan Dickinson,1747,Princeton University,M
Aaron Burr Sr,1748–57,Princeton University,M
Jonathan Edwards,1758,Princeton University,M
Samuel Davies,1759–61,Princeton University,M
Samuel Finley,1761–66,Princeton University,M
John Witherspoon,1768–94,Princeton University,M
Samuel S. Smith,1795–1812,Princeton University,M
Ashbel Green,1812–22,Princeton University,M
James Carnahan,1823–54,Princeton University,M
John Maclean Jr,1854–68,Princeton University,M
James McCosh,1868–88,Princeton University,M
Francis L. Patton,1888–1902,Princeton University,M
Woodrow Wilson,1902–10,Princeton University,M
John G. Hibben,1912–32,Princeton University,M
Harold W. Dodds,1933–57,Princeton University,M
Robert F. Goheen,1957–72,Princeton University,M
William G. Bowen,1972–88,Princeton University,M
Harold T. Shapiro,1988–2001,Princeton University,M
Shirley M. Tilghman,2001–13,Princeton University,F
Christopher L. Eisgruber,2013–present,Princeton University,M
Henry Dunster,1640–1654,Harvard University,M
Charles Chauncy,1654–1672,Harvard University,M
Leonard Hoar,1672–1675,Harvard University,M
Urian Oakes,1680–1681,Harvard University,M
John Rogers,1682–1684,Harvard University,M
Increase Mather,1692–1701,Harvard University,M
John Leverett,1708–1724,Harvard University,M
Benjamin Wadsworth,1725–1737,Harvard University,M
Edward Holyoke,1737–1769,Harvard University,M
Samuel Locke,1770–1773,Harvard University,M
Samuel Langdon,1774–1780,Harvard University,M
Joseph Willard,1781–1804,Harvard University,M
Samuel Webber,1806–1810,Harvard University,M
John Thornton Kirkland,1810–1828,Harvard University,M
Josiah Quincy,1829–1845,Harvard University,M
Edward Everett,1846–1849,Harvard University,M
Jared Sparks,1849–1853,Harvard University,M
James Walker,1853–1860,Harvard University,M
Cornelius Conway Felton,1860–1862,Harvard University,M
Thomas Hill,1862–1868,Harvard University,M
Charles William Eliot,1869–1909,Harvard University,M
Abbott Lawrence Lowell,1909–1933,Harvard University,M
James Bryant Conant,1933–1953,Harvard University,M
Nathan Marsh Pusey,1953–1971,Harvard University,M
Derek Curtis Bok,1971–1991,Harvard University,M
Neil L. Rudenstine,1991–2001,Harvard University,M
Lawrence H. Summers,2001-2006,Harvard University,M
Drew Gilpin Faust,2007–present,Harvard University,M
Abraham Pierson,1701–1707,Yale University,M
Samuel Andrew,1707–1719,Yale University,M
Timothy Cutler,1719–1722,Yale University,M
Elisha Williams,1726–1739,Yale University,M
Thomas Clap,1740–1766,Yale University,M
Naphtali Daggett,1766–1777,Yale University,M
Ezra Stiles,1778–1795,Yale University,M
Timothy Dwight,1795–1817,Yale University,M
Jeremiah Day,1817–1846,Yale University,M
Theodore Dwight Woolsey,1846–1871,Yale University,M
Noah Porter,1871–1886,Yale University,M
Timothy Dwight,1886–1899,Yale University,M
Arthur Twining Hadley,1899–1921,Yale University,M
James Rowland Angell,1921–1937,Yale University,M
Charles Seymour,1937–1950,Yale University,M
Alfred Whitney Griswold,1950–1963,Yale University,M
Kingman Brewster,1963–1977,Yale University,M
Hanna Holborn Gray,1977–1978,Yale University,F
Angelo Bartlett Giamatti,1978–1986,Yale University,M
